customer_id,gender,age,payment_method,age_group
C288416,Male,50.0,Credit Card,36-50
C340089,Female,54.0,Debit Card,51-65
C555040,Male,27.0,Credit Card,26-35
C809281,Male,56.0,Credit Card,51-65
C375325,Female,53.0,Cash,51-65
C155335,Female,62.0,Credit Card,51-65
C225051,Female,42.0,Credit Card,36-50
C635016,Female,68.0,Credit Card,65+
C165705,Male,27.0,Cash,26-35
C709571,Male,39.0,Cash,36-50
C851508,Male,44.0,Debit Card,36-50
C184126,Female,52.0,Debit Card,51-65
C233642,Female,19.0,Cash,18-25
C258410,Female,68.0,Credit Card,65+
C270667,Male,22.0,Cash,18-25
C321527,Male,61.0,Cash,51-65
C109489,Male,23.0,Credit Card,18-25
C103824,Male,34.0,Debit Card,26-35
C126571,Female,33.0,Debit Card,26-35
C169676,Female,60.0,Credit Card,51-65
C321889,Female,24.0,Debit Card,18-25
C212128,Male,53.0,Debit Card,51-65
C301271,Male,22.0,Credit Card,18-25
C221995,Male,50.0,Cash,36-50
C318802,Male,49.0,Credit Card,36-50
C263812,Male,31.0,Debit Card,26-35
C321609,Male,29.0,Cash,26-35
C666013,Female,52.0,Credit Card,51-65
C172185,Female,67.0,Cash,65+
C150463,Female,50.0,Cash,36-50
C274529,Female,58.0,Cash,51-65
C242659,Female,50.0,Debit Card,36-50
C194451,Female,68.0,Credit Card,65+
C252600,Female,59.0,Credit Card,51-65
C309645,Female,66.0,Cash,65+
C336232,Male,69.0,Cash,65+
C325906,Male,27.0,Cash,26-35
C138755,Female,52.0,Credit Card,51-65
C296745,Female,27.0,Cash,26-35
C221838,Female,43.0,Credit Card,36-50
C104985,Male,36.0,Cash,36-50
C826514,Female,19.0,Cash,18-25
C267333,Male,21.0,Cash,18-25
C130479,Male,20.0,Cash,18-25
C310108,Female,23.0,Debit Card,18-25
C358486,Female,52.0,Cash,51-65
C208738,Male,24.0,Credit Card,18-25
C111056,Female,20.0,Credit Card,18-25
C999586,Male,58.0,Credit Card,51-65
C296862,Male,21.0,Debit Card,18-25
C101550,Male,35.0,Cash,26-35
C278142,Female,29.0,Cash,26-35
C330779,Male,68.0,Credit Card,65+
C282968,Female,50.0,Debit Card,36-50
C852668,Female,44.0,Cash,36-50
C274936,Female,47.0,Cash,36-50
C269751,Female,48.0,Cash,36-50
C136051,Female,39.0,Credit Card,36-50
C266462,Male,27.0,Cash,26-35
C329163,Female,34.0,Cash,26-35
C305398,Female,65.0,Cash,51-65
C267961,Female,53.0,Cash,51-65
C101248,Female,19.0,Credit Card,18-25
C165812,Female,19.0,Cash,18-25
C339518,Female,31.0,Credit Card,26-35
C235057,Female,43.0,Cash,36-50
C103944,Male,42.0,Credit Card,36-50
C260889,Male,58.0,Credit Card,51-65
C207753,Female,34.0,Debit Card,26-35
C204154,Female,32.0,Debit Card,26-35
C290344,Male,27.0,Credit Card,26-35
C730395,Female,28.0,Credit Card,26-35
C312155,Male,55.0,Credit Card,51-65
C259743,Female,48.0,Cash,36-50
C605200,Female,46.0,Credit Card,36-50
C317850,Female,20.0,Cash,18-25
C986860,Male,39.0,Credit Card,36-50
C236428,Male,44.0,Credit Card,36-50
C278588,Female,35.0,Debit Card,26-35
C154184,Male,48.0,Credit Card,36-50
C287459,Female,22.0,Credit Card,18-25
C617884,Female,52.0,Debit Card,51-65
C294024,Male,45.0,Debit Card,36-50
C790567,Male,64.0,Credit Card,51-65
C799447,Male,38.0,Credit Card,36-50
C144628,Female,45.0,Cash,36-50
C260810,Female,41.0,Cash,36-50
C670524,Female,57.0,Cash,51-65
C334281,Male,57.0,Debit Card,51-65
C314173,Female,60.0,Credit Card,51-65
C122712,Female,44.0,Debit Card,36-50
C276111,Male,38.0,Cash,36-50
C277924,Male,65.0,Credit Card,51-65
C286466,Male,30.0,Debit Card,26-35
C327001,Female,50.0,Debit Card,36-50
C509924,Female,19.0,Credit Card,18-25
C453635,Male,26.0,Debit Card,26-35
C259539,Female,54.0,Credit Card,51-65
C729392,Female,63.0,Credit Card,51-65
C280085,Female,66.0,Debit Card,65+
C767634,Female,48.0,Debit Card,36-50
C230018,Male,46.0,Debit Card,36-50
C238063,Male,54.0,Cash,51-65
C308584,Male,62.0,Cash,51-65
C216619,Female,64.0,Credit Card,51-65
C241523,Male,55.0,Cash,51-65
C209761,Female,20.0,Credit Card,18-25
C329153,Male,41.0,Credit Card,36-50
C126702,Male,54.0,Credit Card,51-65
C287787,Male,34.0,Cash,26-35
C142943,Female,31.0,Cash,26-35
C100484,Male,48.0,Cash,36-50
C260213,Female,44.0,Debit Card,36-50
C210589,Female,42.0,Credit Card,36-50
C885556,Male,25.0,Credit Card,18-25
C944366,Male,64.0,Cash,51-65
C462011,Female,67.0,Cash,65+
C262366,Female,55.0,Cash,51-65
C212400,Female,62.0,Credit Card,51-65
C204307,Female,54.0,Credit Card,51-65
C162871,Female,43.0,Credit Card,36-50
C119825,Female,30.0,Cash,26-35
C260171,Female,58.0,Debit Card,51-65
C244973,Male,49.0,Credit Card,36-50
C208765,Female,49.0,Cash,36-50
C321053,Female,19.0,Debit Card,18-25
C183356,Female,58.0,Debit Card,51-65
C155763,Female,49.0,Credit Card,36-50
C567509,Female,50.0,Cash,36-50
C486241,Female,21.0,Cash,18-25
C306892,Male,21.0,Cash,18-25
C266819,Male,63.0,Credit Card,51-65
C317897,Male,30.0,Credit Card,26-35
C545424,Male,66.0,Credit Card,65+
C224223,Female,23.0,Cash,18-25
C286181,Female,69.0,Cash,65+
C144371,Female,45.0,Credit Card,36-50
C402433,Male,53.0,Credit Card,51-65
C297425,Female,50.0,Cash,36-50
C222906,Female,45.0,Debit Card,36-50
C236397,Female,47.0,Debit Card,36-50
C309079,Female,36.0,Debit Card,36-50
C116633,Female,61.0,Cash,51-65
C259606,Female,46.0,Credit Card,36-50
C333065,Male,47.0,Debit Card,36-50
C211494,Female,38.0,Cash,36-50
C302831,Female,41.0,Credit Card,36-50
C282397,Male,29.0,Cash,26-35
C233697,Female,58.0,Credit Card,51-65
C129976,Male,69.0,Debit Card,65+
C812053,Female,53.0,Cash,51-65
C324783,Male,26.0,Cash,26-35
C281502,Male,53.0,Cash,51-65
C433234,Female,63.0,Credit Card,51-65
C167183,Female,54.0,Credit Card,51-65
C311195,Female,54.0,Debit Card,51-65
C107399,Male,45.0,Credit Card,36-50
C992967,Female,62.0,Credit Card,51-65
C246719,Female,18.0,Credit Card,18-25
C220859,Female,44.0,Credit Card,36-50
C285422,Male,50.0,Cash,36-50
C217049,Male,31.0,Credit Card,26-35
C141094,Male,62.0,Cash,51-65
C310628,Female,20.0,Debit Card,18-25
C297711,Female,65.0,Cash,51-65
C211354,Female,63.0,Cash,51-65
C281864,Female,57.0,Cash,51-65
C234177,Female,59.0,Debit Card,51-65
C335822,Female,44.0,Debit Card,36-50
C107261,Female,63.0,Credit Card,51-65
C653357,Male,65.0,Cash,51-65
C327084,Female,68.0,Cash,65+
C218706,Female,21.0,Debit Card,18-25
C321931,Female,33.0,Credit Card,26-35
C403983,Female,23.0,Cash,18-25
C137912,Female,49.0,Cash,36-50
C229733,Male,57.0,Credit Card,51-65
C304835,Female,54.0,Credit Card,51-65
C124933,Female,41.0,Credit Card,36-50
C111115,Female,21.0,Cash,18-25
C248988,Female,45.0,Debit Card,36-50
C162574,Female,58.0,Credit Card,51-65
C331880,Male,53.0,Cash,51-65
C291911,Female,53.0,Credit Card,51-65
C153958,Male,39.0,Debit Card,36-50
C125209,Female,21.0,Cash,18-25
C320640,Female,51.0,Credit Card,51-65
C803666,Male,50.0,Debit Card,36-50
C134691,Female,50.0,Cash,36-50
C729802,Male,61.0,Cash,51-65
C252250,Male,44.0,Credit Card,36-50
C208545,Female,31.0,Debit Card,26-35
C310975,Male,64.0,Credit Card,51-65
C109758,Male,50.0,Credit Card,36-50
C214463,Male,45.0,Credit Card,36-50
C387164,Female,29.0,Debit Card,26-35
C135196,Female,33.0,Cash,26-35
C284031,Male,29.0,Cash,26-35
C259260,Male,65.0,Credit Card,51-65
C109593,Female,66.0,Cash,65+
C270238,Male,54.0,Credit Card,51-65
C308978,Male,44.0,Credit Card,36-50
C221607,Male,46.0,Cash,36-50
C115148,Male,37.0,Cash,36-50
C253248,Female,22.0,Credit Card,18-25
C290760,Female,55.0,Cash,51-65
C258089,Male,41.0,Cash,36-50
C222102,Male,42.0,Credit Card,36-50
C209440,Male,24.0,Credit Card,18-25
C203263,Female,43.0,Cash,36-50
C232103,Male,40.0,Credit Card,36-50
C213360,Female,22.0,Cash,18-25
C225105,Female,27.0,Cash,26-35
C158124,Female,68.0,Credit Card,65+
C246484,Female,48.0,Credit Card,36-50
C197019,Female,56.0,Cash,51-65
C947114,Male,25.0,Debit Card,18-25
C115431,Male,30.0,Cash,26-35
C266394,Female,49.0,Credit Card,36-50
C122371,Male,57.0,Credit Card,51-65
C736428,Female,46.0,Cash,36-50
C127339,Male,29.0,Cash,26-35
C164662,Female,69.0,Debit Card,65+
C248884,Female,42.0,Debit Card,36-50
C100684,Female,38.0,Credit Card,36-50
C240688,Female,46.0,Debit Card,36-50
C246364,Male,31.0,Debit Card,26-35
C195413,Male,26.0,Cash,26-35
C197308,Female,48.0,Cash,36-50
C264767,Male,30.0,Credit Card,26-35
C299172,Male,56.0,Cash,51-65
C994327,Male,65.0,Cash,51-65
C337644,Female,53.0,Credit Card,51-65
C175449,Female,43.0,Cash,36-50
C249092,Male,26.0,Cash,26-35
C432132,Male,23.0,Debit Card,18-25
C289802,Female,54.0,Credit Card,51-65
C194330,Male,56.0,Cash,51-65
C127945,Female,37.0,Cash,36-50
C202057,Male,48.0,Debit Card,36-50
C315209,Male,56.0,Debit Card,51-65
C323605,Female,58.0,Cash,51-65
C282395,Female,40.0,Credit Card,36-50
C109491,Female,38.0,Debit Card,36-50
C261194,Female,40.0,Credit Card,36-50
C232330,Male,64.0,Cash,51-65
C737782,Male,28.0,Debit Card,26-35
C123201,Male,49.0,Debit Card,36-50
C230641,Male,51.0,Cash,51-65
C805154,Male,22.0,Credit Card,18-25
C330021,Female,67.0,Debit Card,65+
C107668,Female,22.0,Credit Card,18-25
C209722,Female,26.0,Cash,26-35
C210614,Female,42.0,Debit Card,36-50
C212378,Female,45.0,Credit Card,36-50
C313586,Female,43.0,Credit Card,36-50
C292604,Female,35.0,Debit Card,26-35
C216257,Male,49.0,Credit Card,36-50
C272779,Female,49.0,Cash,36-50
C100507,Male,33.0,Cash,26-35
C190072,Female,65.0,Cash,51-65
C111827,Male,40.0,Cash,36-50
C203955,Male,68.0,Cash,65+
C680169,Female,26.0,Cash,26-35
C281091,Male,38.0,Debit Card,36-50
C209122,Female,56.0,Credit Card,51-65
C231964,Male,19.0,Cash,18-25
C291641,Female,18.0,Cash,18-25
C315386,Male,55.0,Credit Card,51-65
C290158,Female,53.0,Cash,51-65
C226218,Female,69.0,Cash,65+
C633946,Male,27.0,Cash,26-35
C118742,Female,36.0,Cash,36-50
C218295,Female,61.0,Debit Card,51-65
C636874,Female,43.0,Credit Card,36-50
C310472,Female,51.0,Credit Card,51-65
C119440,Male,38.0,Credit Card,36-50
C230305,Male,34.0,Debit Card,26-35
C197131,Male,23.0,Credit Card,18-25
C278721,Male,56.0,Credit Card,51-65
C247868,Male,60.0,Credit Card,51-65
C834257,Female,59.0,Cash,51-65
C242041,Male,43.0,Credit Card,36-50
C892871,Male,55.0,Cash,51-65
C280596,Male,40.0,Cash,36-50
C703073,Female,43.0,Credit Card,36-50
C282097,Male,59.0,Credit Card,51-65
C179726,Male,24.0,Debit Card,18-25
C838282,Female,63.0,Credit Card,51-65
C181939,Male,31.0,Cash,26-35
C755148,Female,69.0,Credit Card,65+
C282107,Female,36.0,Credit Card,36-50
C102560,Female,54.0,Cash,51-65
C229670,Male,22.0,Cash,18-25
C269986,Male,39.0,Cash,36-50
C191300,Male,26.0,Debit Card,26-35
C167158,Male,44.0,Credit Card,36-50
C318225,Female,35.0,Debit Card,26-35
C101108,Female,66.0,Debit Card,65+
C103073,Male,61.0,Cash,51-65
C299787,Female,30.0,Credit Card,26-35
C555827,Male,55.0,Debit Card,51-65
C992695,Female,22.0,Debit Card,18-25
C178176,Female,51.0,Debit Card,51-65
C211245,Male,53.0,Cash,51-65
C139231,Female,54.0,Credit Card,51-65
C339339,Male,34.0,Credit Card,26-35
C321993,Female,49.0,Credit Card,36-50
C226519,Female,41.0,Cash,36-50
C715684,Female,34.0,Credit Card,26-35
C328195,Female,59.0,Cash,51-65
C284366,Female,20.0,Cash,18-25
C354398,Female,23.0,Cash,18-25
C317063,Female,25.0,Credit Card,18-25
C156360,Female,63.0,Debit Card,51-65
C474896,Male,68.0,Credit Card,65+
C140082,Male,58.0,Debit Card,51-65
C240510,Male,58.0,Debit Card,51-65
C292758,Male,47.0,Credit Card,36-50
C222262,Female,22.0,Credit Card,18-25
C130016,Female,51.0,Credit Card,51-65
C305749,Male,56.0,Cash,51-65
C316261,Male,33.0,Cash,26-35
C178487,Male,27.0,Debit Card,26-35
C205731,Male,50.0,Cash,36-50
C171122,Female,49.0,Cash,36-50
C266021,Female,52.0,Cash,51-65
C576719,Male,54.0,Cash,51-65
C254022,Male,19.0,Credit Card,18-25
C121489,Female,49.0,Debit Card,36-50
C211545,Female,44.0,Credit Card,36-50
C245349,Male,69.0,Credit Card,65+
C644605,Female,41.0,Debit Card,36-50
C293936,Female,25.0,Cash,18-25
C387282,Female,51.0,Cash,51-65
C405837,Female,53.0,Cash,51-65
C193298,Female,20.0,Credit Card,18-25
C363987,Male,62.0,Cash,51-65
C995929,Female,30.0,Debit Card,26-35
C236969,Female,47.0,Cash,36-50
C145797,Male,40.0,Credit Card,36-50
C241450,Female,35.0,Credit Card,26-35
C196296,Female,41.0,Cash,36-50
C306908,Female,48.0,Cash,36-50
C141984,Male,26.0,Cash,26-35
C720642,Female,27.0,Cash,26-35
C270638,Female,26.0,Debit Card,26-35
C858536,Female,65.0,Credit Card,51-65
C289573,Female,25.0,Credit Card,18-25
C122094,Female,19.0,Credit Card,18-25
C162986,Male,21.0,Credit Card,18-25
C271881,Female,61.0,Cash,51-65
C214260,Female,65.0,Debit Card,51-65
C209210,Female,23.0,Credit Card,18-25
C296477,Male,42.0,Cash,36-50
C134069,Male,33.0,Credit Card,26-35
C241442,Female,54.0,Credit Card,51-65
C312418,Female,67.0,Credit Card,65+
C127004,Female,41.0,Cash,36-50
C198868,Female,57.0,Cash,51-65
C173860,Female,35.0,Cash,26-35
C186098,Male,62.0,Cash,51-65
C285261,Male,26.0,Cash,26-35
C214662,Male,48.0,Cash,36-50
C163444,Female,57.0,Cash,51-65
C533520,Female,53.0,Cash,51-65
C339565,Male,58.0,Cash,51-65
C202977,Female,32.0,Credit Card,26-35
C237063,Female,23.0,Cash,18-25
C108497,Female,49.0,Cash,36-50
C219299,Female,26.0,Credit Card,26-35
C247547,Female,62.0,Credit Card,51-65
C190917,Male,30.0,Cash,26-35
C337220,Female,28.0,Credit Card,26-35
C217919,Female,65.0,Debit Card,51-65
C112544,Female,56.0,Credit Card,51-65
C168912,Female,40.0,Cash,36-50
C279747,Male,55.0,Credit Card,51-65
C249401,Female,61.0,Credit Card,51-65
C128618,Female,35.0,Cash,26-35
C182105,Female,37.0,Cash,36-50
C331127,Male,32.0,Cash,26-35
C286564,Female,68.0,Debit Card,65+
C188064,Female,44.0,Cash,36-50
C293329,Female,61.0,Credit Card,51-65
C113739,Male,38.0,Cash,36-50
C836254,Female,66.0,Credit Card,65+
C245894,Female,53.0,Cash,51-65
C144894,Female,21.0,Credit Card,18-25
C190794,Male,61.0,Cash,51-65
C142508,Female,32.0,Debit Card,26-35
C135555,Female,46.0,Cash,36-50
C501563,Male,25.0,Cash,18-25
C152590,Female,49.0,Credit Card,36-50
C772839,Female,26.0,Cash,26-35
C623421,Female,40.0,Credit Card,36-50
C222949,Female,20.0,Credit Card,18-25
C133451,Female,38.0,Cash,36-50
C195342,Female,63.0,Cash,51-65
C336400,Male,25.0,Credit Card,18-25
C175833,Female,19.0,Cash,18-25
C246602,Female,53.0,Cash,51-65
C329003,Female,51.0,Cash,51-65
C270340,Male,56.0,Credit Card,51-65
C330141,Male,29.0,Cash,26-35
C121707,Female,20.0,Debit Card,18-25
C112452,Female,35.0,Credit Card,26-35
C269710,Female,62.0,Cash,51-65
C297610,Female,32.0,Cash,26-35
C319935,Male,48.0,Cash,36-50
C785507,Male,43.0,Debit Card,36-50
C217834,Female,57.0,Credit Card,51-65
C709370,Male,33.0,Cash,26-35
C216369,Female,49.0,Cash,36-50
C322689,Female,29.0,Cash,26-35
C146203,Female,43.0,Credit Card,36-50
C611809,Female,36.0,Credit Card,36-50
C210236,Female,59.0,Cash,51-65
C297118,Female,31.0,Credit Card,26-35
C180586,Female,51.0,Debit Card,51-65
C314705,Male,27.0,Cash,26-35
C272419,Female,62.0,Credit Card,51-65
C282520,Male,44.0,Debit Card,36-50
C319624,Female,18.0,Debit Card,18-25
C264687,Female,52.0,Credit Card,51-65
C140543,Male,60.0,Credit Card,51-65
C339391,Female,34.0,Debit Card,26-35
C285587,Male,47.0,Cash,36-50
C137134,Female,58.0,Cash,51-65
C103896,Female,51.0,Credit Card,51-65
C315479,Female,32.0,Debit Card,26-35
C181912,Female,23.0,Credit Card,18-25
C335107,Female,38.0,Cash,36-50
C121510,Male,63.0,Credit Card,51-65
C477489,Female,50.0,Cash,36-50
C331382,Male,64.0,Cash,51-65
C554087,Male,51.0,Cash,51-65
C226252,Male,21.0,Debit Card,18-25
C227695,Female,20.0,Cash,18-25
C246136,Male,34.0,Credit Card,26-35
C170928,Female,26.0,Debit Card,26-35
C200317,Female,19.0,Credit Card,18-25
C192979,Female,47.0,Credit Card,36-50
C198568,Male,47.0,Cash,36-50
C251518,Female,56.0,Credit Card,51-65
C215210,Male,42.0,Debit Card,36-50
C271571,Male,49.0,Cash,36-50
C303444,Female,51.0,Debit Card,51-65
C506925,Female,41.0,Cash,36-50
C294604,Male,27.0,Cash,26-35
C190939,Female,61.0,Debit Card,51-65
C129849,Female,38.0,Cash,36-50
C235178,Male,42.0,Credit Card,36-50
C267843,Male,58.0,Debit Card,51-65
